age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,0,0,0,0,0,0,0,0,0,261,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
57,1,0,1,1,0,0,0,0,0,149,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,1,0,1,0,1,0,0,0,0,226,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
40,2,0,2,0,0,0,0,0,0,151,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
56,1,0,1,0,0,1,0,0,0,307,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
45,1,0,3,1,0,0,0,0,0,198,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
59,2,0,4,0,0,0,0,0,0,139,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,3,0,5,1,0,0,0,0,0,217,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
24,4,1,4,0,1,0,0,0,0,380,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
25,1,1,1,0,1,0,0,0,0,50,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,3,0,5,1,0,0,0,0,0,55,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
25,1,1,1,0,1,0,0,0,0,222,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
29,3,1,1,0,0,1,0,0,0,137,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
57,0,2,0,0,1,0,0,0,0,293,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,3,0,2,0,1,0,0,0,0,146,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
54,5,0,3,1,1,1,0,0,0,174,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,3,0,2,0,1,0,0,0,0,312,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
46,3,0,2,1,1,1,0,0,0,440,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
50,3,0,3,0,1,1,0,0,0,353,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,6,1,3,1,0,0,0,0,0,195,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
30,7,0,1,0,0,0,0,0,0,38,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,3,0,0,1,1,0,0,0,0,262,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,5,1,1,0,1,0,0,0,0,342,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,4,1,1,0,1,0,0,0,0,181,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,2,0,1,0,1,0,0,0,0,172,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,4,0,6,0,0,1,0,0,0,99,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
59,4,0,5,0,1,0,0,0,0,93,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,8,0,3,1,0,0,0,0,0,233,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
54,4,1,6,1,0,0,0,0,0,255,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,9,0,6,1,2,2,0,0,0,362,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
46,2,0,5,0,0,0,0,0,0,348,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
59,4,0,5,0,1,0,0,0,0,386,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
49,3,0,5,0,0,0,0,0,0,73,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
54,6,0,0,1,1,0,0,0,0,230,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
54,3,2,0,0,0,0,0,0,0,208,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,9,0,0,1,1,0,0,0,0,336,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
34,1,0,1,0,0,0,0,0,0,365,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
52,4,0,3,0,1,0,0,0,0,1666,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,2,0,6,0,1,0,0,0,0,577,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
56,4,0,0,0,1,0,0,0,0,137,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
58,6,3,6,0,1,0,0,0,0,366,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
32,10,0,1,0,1,0,0,0,0,314,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
38,2,1,4,0,0,0,0,0,0,160,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
57,2,0,6,0,0,1,0,0,0,212,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
44,2,0,6,1,1,0,0,0,0,188,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,4,1,4,1,0,0,0,0,0,22,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
57,2,0,6,0,1,1,0,0,0,616,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
40,3,0,3,0,0,1,0,0,0,178,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,2,0,6,0,1,0,0,0,0,355,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
45,3,0,3,0,1,0,0,0,0,225,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
54,2,0,1,0,0,0,0,0,0,160,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,0,0,0,0,0,1,0,0,0,266,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
60,2,0,1,0,0,0,0,0,0,253,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
53,2,1,4,0,0,0,0,0,0,179,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,3,0,0,1,0,0,0,0,0,269,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,4,0,4,1,1,0,0,0,0,135,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
50,6,0,6,1,0,1,0,0,0,161,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
45,1,0,1,1,1,0,0,0,0,787,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,7,0,4,1,1,1,0,0,0,145,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
25,4,1,6,0,1,0,0,0,0,174,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
47,10,0,6,1,0,0,0,0,0,449,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
51,3,0,3,0,1,0,0,0,0,812,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,3,0,2,1,1,0,0,0,0,164,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,3,0,2,1,0,0,0,0,0,366,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
48,2,0,1,0,0,0,0,0,0,357,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,2,0,6,0,0,0,0,0,0,232,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
44,3,1,3,0,1,0,0,0,0,91,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
33,2,0,5,0,1,0,0,0,0,273,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
56,2,0,3,0,1,0,0,0,0,158,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
44,3,1,0,1,1,1,0,0,0,177,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,6,0,2,0,0,0,0,0,0,200,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
44,6,2,6,0,1,0,0,0,0,172,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
47,2,0,6,1,1,0,0,0,0,176,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
57,9,0,5,1,0,0,0,0,0,211,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,2,0,6,1,1,0,0,0,0,214,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,3,2,0,1,1,0,0,0,0,1575,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
55,4,0,6,0,0,0,0,0,0,349,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
33,1,0,1,1,1,0,0,0,0,337,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,6,0,5,1,1,0,0,0,0,272,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,3,0,3,1,0,0,0,0,0,208,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
50,3,0,0,1,1,0,0,0,0,193,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
51,3,0,0,1,2,2,0,0,0,212,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
38,2,0,1,1,0,0,0,0,0,165,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
49,10,0,6,1,1,0,0,0,0,1042,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
38,4,1,6,0,0,1,0,0,0,20,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
31,2,2,1,0,0,0,0,0,0,246,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,6,0,2,0,0,0,0,0,0,529,2,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,2,0,6,0,1,1,0,0,0,192,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
49,4,0,3,0,0,0,0,0,0,1467,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,1
