,name,sex
0,Abebe,M
1,Abebi,F
2,Abel,M
3,Abena,F
4,Abeni,F
5,Abidemi,F
6,Abidemi,M
7,Abimbola,M
8,Abioye,M
9,Abrafo,M
10,Achieng,F
11,Adaeze,F
12,Adanna,F
13,Adede,F
14,Adegoke,M
15,Adeola,M
16,Adetokunbo,M
17,Adeyemi,M
18,Adhiambo,F
19,Adisa,F
20,Adisa,M
21,Adjoa,F
22,Adongo,F
23,Adongo,M
24,Adwoa,F
25,Affrica,F
26,Afia,F
27,Afolabi,M
28,Africa,F
29,Afuá,F
30,Akello,F
31,Akinyi,F
32,Akoko,F
33,Akosua,F
34,Akua,M
35,Akua,F
36,Akwasi,M
37,Akwasibah,F
38,Alaba,M
39,Alaba,F
40,Alala,F
41,Alpha,M
42,Amadi,M
43,Amaka,F
44,Amara,M
45,Amara,F
46,Anan,F
47,Anan,M
48,Anyim,M
49,Apio,M
50,Apio,F
51,Apiyo,F
52,Apiyo,M
53,Apunda,F
54,Apunda,M
55,Arapmoi,M
56,Arjana,F
57,Arjana,M
58,Arkamun,M
59,Arkenkherel,M
60,Ashanti,F
61,Aspurta,M
62,Asromiamun,M
63,Atakheramen,M
64,Atieno,F
65,Atsu,M
66,Awiti,F
67,Awotwi,M
68,Awotwi,F
69,Ayo,F
70,Ayo,M
71,Ayodele,F
72,Ayodele,M
73,Ayokunle,M
74,Ayoo,F
75,Ayotunde,F
76,Ayotunde,M
77,Aysi,F
78,Azubuike,M
79,Aaban,M
80,Aabha,F
81,Aabid,M
82,Aabriella,F
83,Aada,F
84,Aadam,M
85,Aadan,M
86,Aadarsh,M
87,Aaden,M
88,Aadesh,M
89,Aadhav,M
90,Aadhavan,M
91,Aadhi,M
92,Aadhira,F
93,Aadhvik,M
94,Aadhya,F
95,Aadhyan,M
96,Aadi,M
97,Aadian,M
98,Aadil,M
99,Aadin,M
100,Aadish,M
101,Aadison,F
102,Aadit,M
103,Aadith,M
104,Aadithya,M
105,Aaditri,F
106,Aaditya,M
107,Aadiv,M
108,Aadon,M
109,Aadrian,M
110,Aadrika,F
111,Aadrit,M
112,Aadvik,M
113,Aadvika,F
114,Aadya,F
115,Aadyn,M
116,Aafia,F
117,Aafreen,F
118,Aagam,M
119,Aage,M
120,Aagot,F
121,Aahaan,M
122,Aahan,M
123,Aahana,F
124,Aahil,M
125,Aahir,M
126,Aahliyah,F
127,Aahna,F
128,Aahron,M
129,Aaidan,M
130,Aaiden,M
131,Aaidyn,M
132,Aaila,F
133,Aailiyah,F
134,Aailyah,F
135,Aaima,F
136,Aaira,F
137,Aairah,F
138,Aaisha,F
139,Aaishah,F
140,Aaiyana,F
141,Aaiza,F
142,Aaja,F
143,Aajah,F
144,Aajaylah,F
145,Aajon,M
146,Aakanksha,F
147,Aakarsh,M
